 material name: BRASS   


                                           (T)          (K)             Ohm*m
 igrand  nfl  idir        rrr   magnetic field  temperature
 2        1    3       50.000           0.0000       50.000   0.225148E-07
 2        1    3       50.000           0.0000       52.000   0.226146E-07
 2        1    3       50.000           0.0000       54.000   0.227144E-07
 2        1    3       50.000           0.0000       56.000   0.228143E-07
 2        1    3       50.000           0.0000       58.000   0.229141E-07
 2        1    3       50.000           0.0000       60.000   0.230139E-07
 2        1    3       50.000           0.0000       62.000   0.231137E-07
 2        1    3       50.000           0.0000       64.000   0.232135E-07
 2        1    3       50.000           0.0000       66.000   0.233134E-07
 2        1    3       50.000           0.0000       68.000   0.234132E-07
 2        1    3       50.000           0.0000       70.000   0.235130E-07
 2        1    3       50.000           0.0000       72.000   0.236128E-07
 2        1    3       50.000           0.0000       74.000   0.237127E-07
 2        1    3       50.000           0.0000       76.000   0.238195E-07
 2        1    3       50.000           0.0000       78.000   0.239755E-07
 2        1    3       50.000           0.0000       80.000   0.241315E-07
 2        1    3       50.000           0.0000       82.000   0.242876E-07
 2        1    3       50.000           0.0000       84.000   0.244436E-07
 2        1    3       50.000           0.0000       86.000   0.245996E-07
 2        1    3       50.000           0.0000       88.000   0.247556E-07
 2        1    3       50.000           0.0000       90.000   0.249117E-07
 2        1    3       50.000           0.0000       92.000   0.250677E-07
 2        1    3       50.000           0.0000       94.000   0.252237E-07
 2        1    3       50.000           0.0000       96.000   0.253797E-07
 2        1    3       50.000           0.0000       98.000   0.255357E-07
 2        1    3       50.000           0.0000      100.000   0.256918E-07
 2        1    3       50.000           0.0000      102.000   0.258478E-07
 2        1    3       50.000           0.0000      104.000   0.260038E-07
 2        1    3       50.000           0.0000      106.000   0.261598E-07
 2        1    3       50.000           0.0000      108.000   0.263159E-07
 2        1    3       50.000           0.0000      110.000   0.264719E-07
 2        1    3       50.000           0.0000      112.000   0.266279E-07
 2        1    3       50.000           0.0000      114.000   0.267839E-07
 2        1    3       50.000           0.0000      116.000   0.269399E-07
 2        1    3       50.000           0.0000      118.000   0.270960E-07
 2        1    3       50.000           0.0000      120.000   0.272520E-07
 2        1    3       50.000           0.0000      122.000   0.274080E-07
 2        1    3       50.000           0.0000      124.000   0.275640E-07
 2        1    3       50.000           0.0000      126.000   0.277201E-07
 2        1    3       50.000           0.0000      128.000   0.278761E-07
 2        1    3       50.000           0.0000      130.000   0.280321E-07
 2        1    3       50.000           0.0000      132.000   0.281881E-07
 2        1    3       50.000           0.0000      134.000   0.283442E-07
 2        1    3       50.000           0.0000      136.000   0.285002E-07
 2        1    3       50.000           0.0000      138.000   0.286562E-07
 2        1    3       50.000           0.0000      140.000   0.288122E-07
 2        1    3       50.000           0.0000      142.000   0.289682E-07
