 material name: BRASS   


                                           (T)          (K)           W/(m*K)
 igrand  nfl  idir        rrr   magnetic field  temperature
 3        1    3       50.000           0.0000       50.000   0.384600E+02
 3        1    3       50.000           0.0000       52.000   0.395720E+02
 3        1    3       50.000           0.0000       54.000   0.406840E+02
 3        1    3       50.000           0.0000       56.000   0.417960E+02
 3        1    3       50.000           0.0000       58.000   0.429080E+02
 3        1    3       50.000           0.0000       60.000   0.440200E+02
 3        1    3       50.000           0.0000       62.000   0.449870E+02
 3        1    3       50.000           0.0000       64.000   0.459540E+02
 3        1    3       50.000           0.0000       66.000   0.469210E+02
 3        1    3       50.000           0.0000       68.000   0.478880E+02
 3        1    3       50.000           0.0000       70.000   0.488550E+02
 3        1    3       50.000           0.0000       72.000   0.498220E+02
 3        1    3       50.000           0.0000       74.000   0.507890E+02
 3        1    3       50.000           0.0000       76.000   0.517560E+02
 3        1    3       50.000           0.0000       78.000   0.527230E+02
 3        1    3       50.000           0.0000       80.000   0.536900E+02
 3        1    3       50.000           0.0000       82.000   0.545310E+02
 3        1    3       50.000           0.0000       84.000   0.553720E+02
 3        1    3       50.000           0.0000       86.000   0.562130E+02
 3        1    3       50.000           0.0000       88.000   0.570540E+02
 3        1    3       50.000           0.0000       90.000   0.578950E+02
 3        1    3       50.000           0.0000       92.000   0.587360E+02
 3        1    3       50.000           0.0000       94.000   0.595770E+02
 3        1    3       50.000           0.0000       96.000   0.604180E+02
 3        1    3       50.000           0.0000       98.000   0.612590E+02
 3        1    3       50.000           0.0000      100.000   0.621000E+02
 3        1    3       50.000           0.0000      102.000   0.626334E+02
 3        1    3       50.000           0.0000      104.000   0.631668E+02
 3        1    3       50.000           0.0000      106.000   0.637002E+02
 3        1    3       50.000           0.0000      108.000   0.642336E+02
 3        1    3       50.000           0.0000      110.000   0.647670E+02
 3        1    3       50.000           0.0000      112.000   0.653004E+02
 3        1    3       50.000           0.0000      114.000   0.658338E+02
 3        1    3       50.000           0.0000      116.000   0.663672E+02
 3        1    3       50.000           0.0000      118.000   0.669006E+02
 3        1    3       50.000           0.0000      120.000   0.674340E+02
 3        1    3       50.000           0.0000      122.000   0.679674E+02
 3        1    3       50.000           0.0000      124.000   0.685008E+02
 3        1    3       50.000           0.0000      126.000   0.690342E+02
 3        1    3       50.000           0.0000      128.000   0.695676E+02
 3        1    3       50.000           0.0000      130.000   0.701010E+02
 3        1    3       50.000           0.0000      132.000   0.706344E+02
 3        1    3       50.000           0.0000      134.000   0.711678E+02
 3        1    3       50.000           0.0000      136.000   0.717012E+02
 3        1    3       50.000           0.0000      138.000   0.722346E+02
 3        1    3       50.000           0.0000      140.000   0.727680E+02
 3        1    3       50.000           0.0000      142.000   0.733014E+02
 3        1    3       50.000           0.0000      144.000   0.738348E+02
 3        1    3       50.000           0.0000      146.000   0.743682E+02
 3        1    3       50.000           0.0000      148.000   0.749016E+02
 3        1    3       50.000           0.0000      150.000   0.754350E+02
 3        1    3       50.000           0.0000      152.000   0.759684E+02
 3        1    3       50.000           0.0000      154.000   0.765018E+02
 3        1    3       50.000           0.0000      156.000   0.770352E+02
 3        1    3       50.000           0.0000      158.000   0.775686E+02
 3        1    3       50.000           0.0000      160.000   0.781020E+02
 3        1    3       50.000           0.0000      162.000   0.786354E+02
 3        1    3       50.000           0.0000      164.000   0.791688E+02
 3        1    3       50.000           0.0000      166.000   0.797022E+02
 3        1    3       50.000           0.0000      168.000   0.802356E+02
 3        1    3       50.000           0.0000      170.000   0.807690E+02
 3        1    3       50.000           0.0000      172.000   0.813024E+02
 3        1    3       50.000           0.0000      174.000   0.818358E+02
 3        1    3       50.000           0.0000      176.000   0.823692E+02
 3        1    3       50.000           0.0000      178.000   0.829026E+02
 3        1    3       50.000           0.0000      180.000   0.834360E+02
 3        1    3       50.000           0.0000      182.000   0.839694E+02
 3        1    3       50.000           0.0000      184.000   0.845028E+02
 3        1    3       50.000           0.0000      186.000   0.850362E+02
 3        1    3       50.000           0.0000      188.000   0.855696E+02
 3        1    3       50.000           0.0000      190.000   0.861030E+02
 3        1    3       50.000           0.0000      192.000   0.866364E+02
 3        1    3       50.000           0.0000      194.000   0.871698E+02
 3        1    3       50.000           0.0000      196.000   0.877032E+02
 3        1    3       50.000           0.0000      198.000   0.882366E+02
 3        1    3       50.000           0.0000      200.000   0.887700E+02
 3        1    3       50.000           0.0000      202.000   0.891306E+02
 3        1    3       50.000           0.0000      204.000   0.894912E+02
 3        1    3       50.000           0.0000      206.000   0.898518E+02
 3        1    3       50.000           0.0000      208.000   0.902124E+02
 3        1    3       50.000           0.0000      210.000   0.905730E+02
 3        1    3       50.000           0.0000      212.000   0.909336E+02
 3        1    3       50.000           0.0000      214.000   0.912942E+02
 3        1    3       50.000           0.0000      216.000   0.916548E+02
 3        1    3       50.000           0.0000      218.000   0.920154E+02
 3        1    3       50.000           0.0000      220.000   0.923760E+02
 3        1    3       50.000           0.0000      222.000   0.927366E+02
 3        1    3       50.000           0.0000      224.000   0.930972E+02
 3        1    3       50.000           0.0000      226.000   0.934578E+02
 3        1    3       50.000           0.0000      228.000   0.938184E+02
 3        1    3       50.000           0.0000      230.000   0.941790E+02
 3        1    3       50.000           0.0000      232.000   0.945396E+02
 3        1    3       50.000           0.0000      234.000   0.949002E+02
 3        1    3       50.000           0.0000      236.000   0.952608E+02
 3        1    3       50.000           0.0000      238.000   0.956214E+02
