 material name: COPPER  


                                           (T)          (K)             Ohm*m
 igrand  nfl  idir        rrr   magnetic field  temperature
 2        1    3      500.000           0.0000        4.000   0.306000E-10
 2        1    3      500.000           0.0000        6.000   0.306000E-10
 2        1    3      500.000           0.0000        8.000   0.306000E-10
 2        1    3      500.000           0.0000       10.000   0.306000E-10
 2        1    3      500.000           0.0000       12.000   0.306004E-10
 2        1    3      500.000           0.0000       14.000   0.306057E-10
 2        1    3      500.000           0.0000       16.000   0.306402E-10
 2        1    3      500.000           0.0000       18.000   0.307831E-10
 2        1    3      500.000           0.0000       20.000   0.312161E-10
 2        1    3      500.000           0.0000       22.000   0.322625E-10
 2        1    3      500.000           0.0000       24.000   0.344023E-10
 2        1    3      500.000           0.0000       26.000   0.382569E-10
 2        1    3      500.000           0.0000       28.000   0.445518E-10
 2        1    3      500.000           0.0000       30.000   0.540673E-10
 2        1    3      500.000           0.0000       32.000   0.675885E-10
 2        1    3      500.000           0.0000       34.000   0.858616E-10
 2        1    3      500.000           0.0000       36.000   0.109560E-09
 2        1    3      500.000           0.0000       38.000   0.139262E-09
 2        1    3      500.000           0.0000       40.000   0.175437E-09
 2        1    3      500.000           0.0000       42.000   0.218443E-09
 2        1    3      500.000           0.0000       44.000   0.268529E-09
 2        1    3      500.000           0.0000       46.000   0.325838E-09
 2        1    3      500.000           0.0000       48.000   0.390422E-09
 2        1    3      500.000           0.0000       50.000   0.462247E-09
 2        1    3      500.000           0.0000       52.000   0.541211E-09
 2        1    3      500.000           0.0000       54.000   0.627150E-09
 2        1    3      500.000           0.0000       56.000   0.719853E-09
 2        1    3      500.000           0.0000       58.000   0.819067E-09
 2        1    3      500.000           0.0000       60.000   0.924513E-09
 2        1    3      500.000           0.0000       62.000   0.103589E-08
 2        1    3      500.000           0.0000       64.000   0.115287E-08
 2        1    3      500.000           0.0000       66.000   0.127513E-08
 2        1    3      500.000           0.0000       68.000   0.140235E-08
 2        1    3      500.000           0.0000       70.000   0.153419E-08
 2        1    3      500.000           0.0000       72.000   0.167031E-08
 2        1    3      500.000           0.0000       74.000   0.181040E-08
 2        1    3      500.000           0.0000       76.000   0.195414E-08
 2        1    3      500.000           0.0000       78.000   0.210123E-08
 2        1    3      500.000           0.0000       80.000   0.225137E-08
 2        1    3      500.000           0.0000       82.000   0.240427E-08
 2        1    3      500.000           0.0000       84.000   0.255967E-08
 2        1    3      500.000           0.0000       86.000   0.271731E-08
 2        1    3      500.000           0.0000       88.000   0.287694E-08
 2        1    3      500.000           0.0000       90.000   0.303833E-08
 2        1    3      500.000           0.0000       92.000   0.320126E-08
 2        1    3      500.000           0.0000       94.000   0.336552E-08
 2        1    3      500.000           0.0000       96.000   0.353091E-08
 2        1    3      500.000           0.0000       98.000   0.369726E-08
 2        1    3      500.000           0.0000      100.000   0.386439E-08
 2        1    3      500.000           0.0000      102.000   0.403213E-08
 2        1    3      500.000           0.0000      104.000   0.420034E-08
 2        1    3      500.000           0.0000      106.000   0.436887E-08
 2        1    3      500.000           0.0000      108.000   0.453759E-08
 2        1    3      500.000           0.0000      110.000   0.470639E-08
 2        1    3      500.000           0.0000      112.000   0.487514E-08
 2        1    3      500.000           0.0000      114.000   0.504374E-08
 2        1    3      500.000           0.0000      116.000   0.521210E-08
 2        1    3      500.000           0.0000      118.000   0.538011E-08
 2        1    3      500.000           0.0000      120.000   0.554770E-08
 2        1    3      500.000           0.0000      122.000   0.571479E-08
 2        1    3      500.000           0.0000      124.000   0.588131E-08
 2        1    3      500.000           0.0000      126.000   0.604718E-08
 2        1    3      500.000           0.0000      128.000   0.621236E-08
 2        1    3      500.000           0.0000      130.000   0.637678E-08
 2        1    3      500.000           0.0000      132.000   0.654039E-08
 2        1    3      500.000           0.0000      134.000   0.670315E-08
 2        1    3      500.000           0.0000      136.000   0.686501E-08
 2        1    3      500.000           0.0000      138.000   0.702594E-08
 2        1    3      500.000           0.0000      140.000   0.718590E-08
 2        1    3      500.000           0.0000      142.000   0.734485E-08
 2        1    3      500.000           0.0000      144.000   0.750277E-08
 2        1    3      500.000           0.0000      146.000   0.765964E-08
 2        1    3      500.000           0.0000      148.000   0.781543E-08
 2        1    3      500.000           0.0000      150.000   0.797012E-08
 2        1    3      500.000           0.0000      152.000   0.812369E-08
 2        1    3      500.000           0.0000      154.000   0.827613E-08
 2        1    3      500.000           0.0000      156.000   0.842742E-08
 2        1    3      500.000           0.0000      158.000   0.857755E-08
 2        1    3      500.000           0.0000      160.000   0.872651E-08
 2        1    3      500.000           0.0000      162.000   0.887429E-08
 2        1    3      500.000           0.0000      164.000   0.902089E-08
 2        1    3      500.000           0.0000      166.000   0.916630E-08
 2        1    3      500.000           0.0000      168.000   0.931052E-08
 2        1    3      500.000           0.0000      170.000   0.945354E-08
 2        1    3      500.000           0.0000      172.000   0.959536E-08
 2        1    3      500.000           0.0000      174.000   0.973598E-08
 2        1    3      500.000           0.0000      176.000   0.987540E-08
 2        1    3      500.000           0.0000      178.000   0.100136E-07
 2        1    3      500.000           0.0000      180.000   0.101507E-07
 2        1    3      500.000           0.0000      182.000   0.102865E-07
 2        1    3      500.000           0.0000      184.000   0.104211E-07
 2        1    3      500.000           0.0000      186.000   0.105546E-07
 2        1    3      500.000           0.0000      188.000   0.106869E-07
 2        1    3      500.000           0.0000      190.000   0.108180E-07
 2        1    3      500.000           0.0000      192.000   0.109479E-07
 2        1    3      500.000           0.0000      194.000   0.110767E-07
 2        1    3      500.000           0.0000      196.000   0.112043E-07
 2        1    3      500.000           0.0000      198.000   0.113308E-07
 2        1    3      500.000           0.0000      200.000   0.114562E-07
 2        1    3      500.000           0.0000      202.000   0.115804E-07
 2        1    3      500.000           0.0000      204.000   0.117034E-07
 2        1    3      500.000           0.0000      206.000   0.118254E-07
 2        1    3      500.000           0.0000      208.000   0.119463E-07
 2        1    3      500.000           0.0000      210.000   0.120660E-07
 2        1    3      500.000           0.0000      212.000   0.121847E-07
 2        1    3      500.000           0.0000      214.000   0.123023E-07
 2        1    3      500.000           0.0000      216.000   0.124188E-07
 2        1    3      500.000           0.0000      218.000   0.125342E-07
 2        1    3      500.000           0.0000      220.000   0.126486E-07
 2        1    3      500.000           0.0000      222.000   0.127620E-07
 2        1    3      500.000           0.0000      224.000   0.128743E-07
 2        1    3      500.000           0.0000      226.000   0.129856E-07
 2        1    3      500.000           0.0000      228.000   0.130959E-07
 2        1    3      500.000           0.0000      230.000   0.132052E-07
 2        1    3      500.000           0.0000      232.000   0.133134E-07
 2        1    3      500.000           0.0000      234.000   0.134208E-07
 2        1    3      500.000           0.0000      236.000   0.135271E-07
 2        1    3      500.000           0.0000      238.000   0.136324E-07
 2        1    3      500.000           0.0000      240.000   0.137369E-07
 2        1    3      500.000           0.0000      242.000   0.138403E-07
 2        1    3      500.000           0.0000      244.000   0.139429E-07
 2        1    3      500.000           0.0000      246.000   0.140445E-07
 2        1    3      500.000           0.0000      248.000   0.141452E-07
 2        1    3      500.000           0.0000      250.000   0.142450E-07
 2        1    3      500.000           0.0000      252.000   0.143439E-07
